GO:0016701 GO:0019398
GO:0043843 GO:0061719
GO:0015276 GO:1990806
GO:0015277 GO:0098991
GO:0015280 GO:0098991
GO:0036211 GO:0042047
GO:0036211 GO:0019941
GO:0036211 GO:0061857
GO:0036211 GO:0006777
GO:0036211 GO:0080120
GO:0055102 GO:0030845
GO:0016830 GO:0019467
GO:0016830 GO:0061680
GO:0016830 GO:0019655
GO:0016830 GO:0019657
GO:0016830 GO:0061720
GO:0016830 GO:0061721
GO:0016830 GO:0061681
GO:0016830 GO:0006540
GO:0016830 GO:0009255
GO:0016830 GO:0061722
GO:0016830 GO:0061624
GO:0016830 GO:0061625
GO:0016830 GO:0006777
GO:0016830 GO:0061615
GO:0016830 GO:0019661
GO:0016830 GO:0061719
GO:0016830 GO:0019650
GO:0016830 GO:0140380
GO:0016830 GO:0015451
GO:0016831 GO:0019467
GO:0016831 GO:0019650
GO:0016831 GO:0006540
GO:0016831 GO:0140380
GO:0016831 GO:0015451
GO:0016832 GO:0061680
GO:0016832 GO:0019655
GO:0016832 GO:0019657
GO:0016832 GO:0061720
GO:0016832 GO:0061721
GO:0016832 GO:0061681
GO:0016832 GO:0009255
GO:0016832 GO:0061722
GO:0016832 GO:0061624
GO:0016832 GO:0061625
GO:0016832 GO:0061615
GO:0016832 GO:0061719
GO:0016832 GO:0019661
GO:0032052 GO:0038185
GO:0032052 GO:0038186
GO:0016840 GO:2001310
GO:0016842 GO:2001310
GO:0016853 GO:0006096
GO:0016853 GO:0061720
GO:0016853 GO:0061611
GO:0016853 GO:0061721
GO:0016853 GO:0009052
GO:0016853 GO:0046211
GO:0016853 GO:0006098
GO:0016853 GO:0009298
GO:0016853 GO:0061705
GO:0016853 GO:0061722
GO:0016853 GO:0033362
GO:0016853 GO:0061719
GO:0016853 GO:0019660
GO:0016854 GO:0033362
GO:0016854 GO:0009052
GO:0016854 GO:0006098
GO:0016855 GO:0033362
GO:0046031 GO:0019660
GO:0046032 GO:0019660
GO:0046034 GO:0009777
GO:0046034 GO:0006119
GO:0046034 GO:0019660
GO:0016861 GO:0019655
GO:0016861 GO:0019657
GO:0016861 GO:0061720
GO:0016861 GO:0061611
