protein_id	protein_name	integration_date	taxon_id	taxon_id_matched
MRE11_CHATD	Double-strand break repair protein MRE11 {ECO:0000305}	29-MAY-2024	759272	True
MRE11_THEMA	DNA double-strand break repair protein Mre11 {ECO:0000305}	29-MAY-2024	243274	True
MSL2_CHICK	E3 ubiquitin-protein ligase MSL2	29-MAY-2024	9031	True
NBN_XENLA	Nibrin	29-MAY-2024	8355	True
NBS1_CHATD	DNA repair and telomere maintenance protein NBS1 {ECO:0000305}	29-MAY-2024	759272	True
NEC1A_DANRE	Nectin 1a {ECO:0000303|PubMed:19097185}	27-NOV-2024	7955	True
NIPS1_DANRE	Protein NipSnap homolog 1	24-JUL-2024	7955	True
NR5A2_DANRE	Nuclear receptor subfamily 5 group A member 2 {ECO:0000305}	09-APR-2025	7955	True
NSHB1_SOYBN	Anaerobic nitrite reductase Hb1 {ECO:0000305}	29-MAY-2024	3847	True
NSHB2_SOYBN	Anaerobic nitrite reductase Hb2 {ECO:0000305}	29-MAY-2024	3847	True
NUC_CULQU	Salivary endonuclease {ECO:0000303|PubMed:16809456}	05-FEB-2025	7176	True
ODD23_SOYBN	Homoarginine-6-hydroxylase 2-ODD-C23 {ECO:0000303|PubMed:38619227}	27-NOV-2024	3847	True
P2X4A_DANRE	P2X purinoceptor 4a	29-MAY-2024	7955	True
PADRL_MYCTU	Probable transcriptional regulator Rv1176c {ECO:0000305}	27-NOV-2024	83332	True
PGMP1_MARPO	Phosphoglucomutase 1, chloroplastic {ECO:0000303|PubMed:31851335}	29-MAY-2024	3197	True
PHOH2_MYCTU	Protein PhoH2 {ECO:0000303|PubMed:25999286}	02-OCT-2024	83332	True
PKS10_ORYSJ	Type III polyketide synthase 10 {ECO:0000303|PubMed:27878652}	09-APR-2025	39947	True
PKS21_ORYSJ	Type III polyketide synthase 21 {ECO:0000303|PubMed:27878652}	09-APR-2025	39947	True
PLLP_DANRE	Plasmolipin	05-FEB-2025	7955	True
PLST_DANRE	Plastin-3	29-MAY-2024	7955	True
PRAF_MARPO	RAF-like serine/threonine-protein kinase PRAF {ECO:0000303|PubMed:31851335}	29-MAY-2024	3197	True
RA50L_XENLA	DNA repair protein RAD50.L	29-MAY-2024	8355	True
RA50S_XENLA	DNA repair protein RAD50.S	29-MAY-2024	8355	True
RAD50_CHATD	DNA repair protein RAD50 {ECO:0000305}	29-MAY-2024	759272	True
RASB_ASPFU	Ras-like protein B {ECO:0000303|PubMed:14732259}	24-JUL-2024	330879	True
RAX2_CANAL	Polarized growth protein RAX2 {ECO:0000303|PubMed:23608319}	27-NOV-2024	237561	True
RHBA_ASPFU	Small monomeric GTPase RhbA {ECO:0000303|PubMed:12704156}	29-MAY-2024	330879	True
ROW1_MYCMD	Appressorium protein ROW1 {ECO:0000305}	09-APR-2025	5270	True
ROW2_MYCMD	Appressorium protein ROW2	09-APR-2025	5270	True
RT4I1_DROME	NAD(P)H oxidoreductase RTN4IP1, mitochondrial {ECO:0000305}	09-APR-2025	7227	True
SAYS1_DROME	SAYSvFN domain-containing protein 1 {ECO:0000305}	24-JUL-2024	7227	True
SDR1_SAPOF	Short-chain dehydrogenase/reductase 1 {ECO:0000303|PubMed:39043959}	18-JUN-2025	3572	True
SDSL_RAT	Serine dehydratase-like	24-JUL-2024	10116	True
SPOUT_DROME	28S rRNA (uridine-N(3))-methyltransferase	18-JUN-2025	7227	True
SRBA_ASPFU	Transcription regulator srbA precursor {ECO:0000303|PubMed:18989462}	29-MAY-2024	330879	True
SRBB_ASPFU	Transcription factor srbB {ECO:0000303|PubMed:25375670}	29-MAY-2024	330879	True
STS1_ORYSJ	Transmembrane and coiled-coil domain-containing protein STS1 {ECO:0000305}	09-APR-2025	39947	True
TA365_PETMA	Trace amine-associated receptor 365 {ECO:0000305}	27-NOV-2024	7757	True
TEKT5_RAT	Tektin-5 {ECO:0000303|PubMed:17924527}	02-OCT-2024	10116	True
TF65_RAT	Transcription factor p65	18-JUN-2025	10116	True
THUM2_BOVIN	U6 snRNA (guanine-N(2))-methyltransferase THUMPD2 {ECO:0000305|PubMed:37283053}	09-APR-2025	9913	True
TLA3_PSEAE	Type VI lipase adapter protein Tla3 {ECO:0000303|PubMed:31231326}	02-OCT-2024	208964	True
TM63B_CHICK	Mechanosensitive cation channel TMEM63B {ECO:0000305}	18-JUN-2025	9031	True
TM63_DROME	Mechanosensitive cation channel Tmem63 {ECO:0000305}	18-JUN-2025	7227	True
TMCA_THEKO	tRNA(Met) cytidine acetyltransferase TmcA {ECO:0000255|HAMAP-Rule:MF_01886}	05-FEB-2025	69014	True
TMM81_DANRE	Transmembrane protein 81	05-FEB-2025	7955	True
TRPM5_DANRE	Transient receptor potential cation channel subfamily M member 5	02-OCT-2024	7955	True
TTHAT_LUPAN	Tetrahydroanabasine acetyltransferase {ECO:0000303|PubMed:37540741}	29-MAY-2024	3871	True
UGT83_ORYSJ	Malvidin galactosylase UGT88C3 {ECO:0000303|PubMed:38475543}	24-JUL-2024	39947	True
UNR_DROME	RNA-binding protein Unr {ECO:0000305}	29-MAY-2024	7227	True
VDAC1_SHEEP	Non-selective voltage-gated ion channel VDAC1 {ECO:0000250|UniProtKB:P21796}	24-JUL-2024	9940	True
VIRR_MYCTU	Vesiculogenesis and immune response regulator {ECO:0000303|PubMed:24248369}	18-JUN-2025	83332	True
WDR54_RAT	WD repeat domain 54	05-FEB-2025	10116	True
WSS1_ORYSJ	Receptor protein kinase WSS1 {ECO:0000305}	05-FEB-2025	39947	True
WZY_PSEAE	O-antigen polymerase {ECO:0000303|PubMed:8939432}	02-OCT-2024	208964	True
ZDHC9_ORYSJ	Protein S-acyltransferase DHHC9 {ECO:0000305}	24-JUL-2024	39947	True
